Iteration,Loss,Elapsed Time
430,2.108,11353.2
431,2.122,11378.1
432,2.106,11404.4
433,2.127,11430.7
434,2.157,11455.7
435,2.178,11481.9
436,2.204,11509.2
437,2.212,11534.4
438,2.196,11559.3
439,2.175,11585.4
440,2.194,11618.3
441,2.181,11642.8
442,2.176,11669.2
443,2.17,11694.5
444,2.144,11721.9
445,2.162,11748.8
446,2.136,11776
447,2.128,11799.5
448,2.132,11826.6
449,2.157,11852.2
450,2.134,11875.6
451,2.138,11901.4
452,2.145,11934.6
453,2.134,11959.9
454,2.135,11986.1
455,2.107,12014.3
456,2.117,12039.7
457,2.116,12064.8
458,2.121,12090.5
459,2.15,12114.7
460,2.181,12138.6
461,2.144,12164.2
462,2.126,12188
463,2.121,12213.4
464,2.112,12245.9
465,2.121,12270.1
466,2.109,12294.2
467,2.08,12321.3
468,2.08,12346.3
469,2.087,12372
470,2.084,12397.6
471,2.118,12423.2
472,2.132,12447.8
473,2.121,12474.3
474,2.091,12499.8
475,2.092,12527.3
476,2.075,12561.7
477,2.021,12585.8
478,2.008,12610.2
479,2.024,12637.9
480,2.006,12663.3
481,2.018,12689.1
482,2.061,12716.6
483,2.053,12742.6
484,2.033,12767.7
485,2.041,12795.2
486,2.061,12822.4
487,2.066,12853.9
488,2.057,12879.8
489,2.09,12904.4
490,2.082,12930.6
491,2.073,12958.9
492,2.088,12985.2
493,2.086,13010
494,2.106,13036.2
495,2.089,13060
496,2.049,13085.3
497,2.035,13111
498,2.013,13139.2
499,2.029,13170.9
500,2.029,13197.3
501,2.033,13223.5
502,2.046,13250.2
503,2.048,13277.1
504,2.016,13302.8
505,2.001,13329.3
506,2.006,13354.8
507,2.05,13379.9
508,2.048,13405.8
509,2.03,13433
510,2.025,13458.6
511,2.018,13489.3
512,1.988,13514.9
513,2.014,13541.4
514,2.026,13567.8
515,2.048,13593.2
516,2.061,13621.4
517,2.044,13646.3
518,2.019,13671
519,2.002,13695.7
520,1.968,13720.2
521,1.955,13748.3
522,1.983,13774.7
523,1.96,13805.8
524,1.933,13830.5
525,1.926,13857.3
526,1.902,13883.1
527,1.916,13907.1
528,1.929,13933.5
529,1.937,13959.5
530,1.967,13984.6
531,1.961,14010.5
532,1.944,14038
533,1.93,14063.4
534,1.932,14090.8
535,1.942,14123.7
536,1.922,14149.3
537,1.941,14175.6
538,1.928,14202.1
539,1.91,14225.2
540,1.925,14252
541,1.966,14278.3
542,1.944,14302.5
543,1.927,14328.9
544,1.946,14353.4
545,1.944,14378.8
546,1.951,14403.6
547,1.961,14435.3
548,1.968,14461.4
549,1.936,14489.5
550,1.942,14515.4
551,1.961,14540.8
552,1.969,14564.7
553,1.964,14590.6
554,1.938,14615
555,1.953,14640
556,1.954,14664.7
557,1.989,14689.4
558,1.989,14716.6
559,2.001,14748.8
560,1.962,14772.6
561,1.977,14799.2
562,1.951,14824.1
563,1.932,14848.4
564,1.956,14872.9
565,1.937,14900.2
566,1.948,14924.3
567,1.943,14949
568,1.944,14977.3
569,1.96,15003.9
570,1.942,15027.7
571,1.948,15059.8
572,1.971,15086.6
573,1.941,15113.8
574,1.949,15142.7
575,1.929,15168
576,1.914,15192.7
577,1.897,15220.6
578,1.882,15246.2
579,1.92,15271.7
580,1.919,15297.8
581,1.92,15324.1
582,1.932,15355.1
583,1.903,15380.2
584,1.923,15405.1
585,1.93,15432.3
586,1.935,15459.5
587,1.929,15484.8
588,1.971,15510.9
589,1.948,15536.1
590,1.954,15560.7
591,1.948,15585.6
592,1.958,15612.8
593,1.941,15639.2
594,1.917,15673.3
595,1.902,15699.5
596,1.889,15724.7
597,1.885,15753
598,1.855,15779.4
599,1.865,15804.1
600,1.882,15830.3
601,1.893,15857.8
602,1.889,15881.3
603,1.872,15906.3
604,1.871,15934.1
605,1.884,15959
606,1.962,15992
607,1.953,16018.9
608,1.964,16044.6
609,1.937,16070.8
610,1.927,16097.4
611,1.915,16123.3
612,1.882,16147.9
613,1.859,16175
614,1.871,16201.8
615,1.865,16225.5
616,1.917,16250.6
617,1.931,16275
618,1.928,16307.2
619,1.924,16333.1
620,1.926,16359.3
621,1.899,16384.3
622,1.9,16411.3
623,1.907,16437
624,1.899,16462.6
625,1.897,16489.4
626,1.901,16515.4
627,1.877,16539.3
628,1.897,16562.6
629,1.929,16589.6
630,1.915,16621.3
631,1.904,16646.2
632,1.899,16672
633,1.928,16697.5
634,1.897,16722
635,1.882,16747.6
636,1.851,16772.8
637,1.856,16798.4
638,1.831,16825.5
639,1.837,16848.9
640,1.84,16876.9
641,1.862,16905
642,1.865,16935.7
643,1.857,16961.8
644,1.852,16990.1
645,1.874,17016.7
646,1.878,17041.7
647,1.882,17069.3
648,1.882,17096.4
649,1.857,17122.3
650,1.87,17150.1
651,1.87,17176.5
652,1.854,17200.6
653,1.841,17227.4
654,1.827,17258.8
655,1.824,17284.5
656,1.811,17311.8
657,1.807,17335.9
658,1.789,17362.2
659,1.789,17388.3
660,1.793,17412.3
661,1.787,17436.6
662,1.813,17462.5
663,1.838,17488.7
664,1.869,17512.9
665,1.861,17540.2
666,1.856,17572.1
667,1.87,17597.6
668,1.877,17625.3
669,1.858,17651.1
670,1.846,17675.3
671,1.857,17701.9
672,1.842,17727.5
673,1.849,17751.6
674,1.821,17776.3
675,1.808,17800.6
676,1.828,17825
677,1.856,17859.4
678,1.836,17883.8
679,1.837,17910.4
680,1.813,17936.1
681,1.78,17961.3
682,1.812,17986.3
683,1.82,18013.2
684,1.841,18040.3
685,1.831,18067.3
686,1.847,18091.9
687,1.841,18118.3
688,1.843,18140.7
689,1.835,18174.9
690,1.873,18201.7
691,1.874,18227.8
692,1.85,18253.3
693,1.869,18282.4
694,1.868,18308.7
695,1.845,18333.5
696,1.842,18359
697,1.849,18384.4
698,1.84,18409.6
699,1.835,18438.1
700,1.816,18462.7
701,1.811,18494.3
702,1.82,18520.5
703,1.84,18546.5
704,1.831,18571
705,1.813,18598
706,1.797,18623.2
707,1.794,18651.1
708,1.773,18678.2
709,1.761,18704.5
710,1.756,18730.2
711,1.779,18758
712,1.777,18783.4
713,1.771,18815.7
714,1.742,18843.6
715,1.773,18869.5
716,1.76,18893.4
717,1.779,18921.1
718,1.785,18948.3
719,1.776,18973.9
720,1.781,19001.6
721,1.781,19027.4
722,1.788,19052.5
723,1.768,19081.9
724,1.753,19107.2
725,1.738,19138.5
726,1.768,19166.3
727,1.737,19191.6
728,1.766,19216.6
729,1.759,19241.9
730,1.77,19267.3
731,1.758,19292.9
732,1.796,19321
733,1.811,19345.8
734,1.82,19371.3
735,1.824,19398.1
736,1.834,19422.9
737,1.823,19456.2
738,1.81,19482
739,1.793,19507.3
740,1.813,19533.8
741,1.815,19560.3
742,1.796,19583.9
